SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,7751 Sand Point Way Unit B,Seattle,WA,98115,975000,3,2.5,View Ridge,2260,1651,2009,14,431,,Active,,,http://www.redfin.com/WA/Seattle/7751-Sand-Point-Way-NE-98115/unit-B/home/22683867,NWMLS,1663306,N,Y,47.6862166,-122.2655658
MLS Listing,,Townhouse,117 17th Ave Unit B,Seattle,WA,98122,799900,3,2.5,Central Area,1520,972,2006,14,526,,Active,,,http://www.redfin.com/WA/Seattle/117-17th-Ave-98122/unit-B/home/2068082,NWMLS,1660445,N,Y,47.6022045,-122.310543
MLS Listing,,Single Family Residential,13335 1st Ave NE,Seattle,WA,98125,899999,3,3.25,Haller Lake,2525,3362,2017,14,356,,Active,,,http://www.redfin.com/WA/Seattle/13335-1st-Ave-NE-98125/home/113179283,NWMLS,1663287,N,Y,47.7258618,-122.329894
MLS Listing,,Condo/Co-op,1415 2nd Ave #2204,Seattle,WA,98101,750000,2,1.75,Seattle,1015,,1991,15,739,903,Active,,,http://www.redfin.com/WA/Seattle/1415-2nd-Ave-98101/unit-2204/home/2491,NWMLS,1663008,N,Y,47.6086476,-122.3387913
MLS Listing,,Condo/Co-op,717 E Denny Way Unit 4B,Seattle,WA,98122,685000,2,2,Broadway,1107,,2002,15,619,612,Active,,,http://www.redfin.com/WA/Seattle/717-E-Denny-Way-98122/unit-4B/home/26451,NWMLS,1663000,N,Y,47.6185137,-122.3226743
MLS Listing,,Condo/Co-op,12229 100th Ave NE Unit A110,Kirkland,WA,98034,349000,2,1.5,Juanita,1003,,1984,19,348,551,Active,,,http://www.redfin.com/WA/Kirkland/12229-100th-Ave-NE-98034/unit-A-110/home/57019,NWMLS,1660856,N,Y,47.7104569,-122.2085662
MLS Listing,,Townhouse,22933 SE 5th Ct,Sammamish,WA,98074,699000,2,2.25,Sammamish,1270,1087,2019,19,550,97,Active,,,http://www.redfin.com/WA/Sammamish/22933-SE-5th-Ct-98074/home/143457999,NWMLS,1661377,N,Y,47.603714,-122.033046
MLS Listing,,Condo/Co-op,4547 8th Ave NE #502,Seattle,WA,98105,359900,1,1,Seattle,470,,2008,19,766,439,Active,,,http://www.redfin.com/WA/Seattle/4547-8th-Ave-NE-98105/unit-502/home/21882414,NWMLS,1661350,N,Y,47.6628143,-122.3199182
MLS Listing,,Single Family Residential,4607 Woodlawn Ave N,Seattle,WA,98103,970000,3,1.75,Wallingford,2364,2712,1928,19,410,,Active,,,http://www.redfin.com/WA/Seattle/4607-Woodlawn-Ave-N-98103/home/117882,NWMLS,1655836,N,Y,47.6624453,-122.3393822
MLS Listing,,Condo/Co-op,3717 Beach Dr SW #303,Seattle,WA,98116,572000,2,1.5,Alki,1080,,1968,19,530,688,Active,,,http://www.redfin.com/WA/Seattle/3717-Beach-Dr-SW-98116/unit-303/home/10241,NWMLS,1660184,N,Y,47.5705744,-122.4115931
MLS Listing,,Condo/Co-op,4737 W Lake Sammamish Pkwy SE Unit A111,Issaquah,WA,98027,329000,1,1,Issaquah,753,,1979,19,437,334,Active,,,http://www.redfin.com/WA/Issaquah/4737-W-Lake-Sammamish-Pkwy-SE-98027/unit-A111/home/58741,NWMLS,1660898,N,Y,47.5592452,-122.0866112
MLS Listing,,Condo/Co-op,76 Cedar St #505,Seattle,WA,98121,484950,1,1.5,Belltown,918,,2008,19,528,646,Active,,,http://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-505/home/12537819,NWMLS,1661740,N,Y,47.6156052,-122.3516944
MLS Listing,,Condo/Co-op,1321 Seneca St #1106,Seattle,WA,98101,685000,1,1,Downtown,743,,2016,19,922,630,Active,,,http://www.redfin.com/WA/Seattle/1321-Seneca-St-98101/unit-1106/home/108572985,NWMLS,1661979,N,Y,47.6118651,-122.3231225
MLS Listing,,Single Family Residential,4632 S 164th St,Tukwila,WA,98188,489990,3,1.75,SeaTac,1580,9148,1976,19,310,,Active,,,http://www.redfin.com/WA/Tukwila/4632-S-164th-St-98188/home/194159,NWMLS,1660002,N,Y,47.4565771,-122.2750881
